tractid,period,pop19,nhwht19,nhblk19,hisp19,asian19,fb19,n10imm19,col19,unemp19,prof19,manuf19,npov19,vac19,own19,dmulti19,multi19,h30old19,h10yrs19,a18und19,a60up19
48141000204,2019,5771,1136,401,4003,39,902,34,534,161,536,94,1165,70,1056,1885,322,1753,761,1566,915
48141000401,2019,5936,1544,419,3606,236,867,73,1473,158,1073,48,294,347,1371,2590,680,2297,1100,1431,1546
48141000403,2019,3391,351,166,2800,25,621,60,340,182,441,114,626,48,589,1229,260,1007,734,975,505
48141001111,2019,4801,1202,146,3252,182,1438,689,1939,192,1570,221,959,568,494,2820,2205,1962,1816,859,489
48141003602,2019,2588,51,27,2483,0,768,21,58,91,172,51,895,112,355,1008,423,948,432,686,626
48141004104,2019,6417,177,8,6161,0,1749,48,569,97,568,129,1548,198,1425,2180,346,1841,654,1555,1594
48141004316,2019,6268,618,6,5570,42,1468,235,904,165,998,222,733,86,1098,2316,899,1393,1115,1499,866
48141010307,2019,6332,469,25,5767,36,998,116,1147,281,1156,183,1215,164,1236,2270,777,2062,865,1480,1440
48141000205,2019,4411,600,380,3404,27,886,91,367,168,307,72,1760,296,483,1857,973,1426,1100,1424,774
48141001700,2019,1322,81,58,1142,13,580,404,53,21,12,40,303,88,9,331,267,315,182,117,138
